seed,n,m,gamma,runtime_seconds,objective,robust_residual,certificate_feasible,candidate_count,theta_evaluated_count,median_raw_options,median_undominated_options,median_hull_vertices,median_hull_fraction
4001,30,8,5,0.08754308299103286,134550.85424598056,1.4206263849940797,True,162,162,6.0,6.0,6.0,1.0
4001,30,16,5,0.23233391701069195,136346.4516720095,0.045124464682857024,True,327,327,11.0,11.0,11.0,1.0
4001,60,8,7,0.3210217080049915,255633.12732941756,7.386338584161194,True,317,317,5.0,5.0,5.0,1.0
4001,60,16,7,0.8564089999999851,256163.5408544278,0.033977177846395534,True,635,635,10.0,10.0,10.0,1.0
4001,120,8,10,1.271833124992554,482892.5107900001,3.766148848631815,True,641,641,5.5,5.5,5.5,1.0
4001,120,16,10,3.8189730000012787,482513.58618072735,0.11487564528295025,True,1311,1311,11.0,11.0,11.0,1.0
4001,200,8,14,4.212825916009024,772070.1764610948,1.436593912816761,True,1105,1105,6.0,6.0,6.0,1.0
4001,200,16,14,10.42783737499849,773315.2351360557,0.10858913635809131,True,2147,2147,11.0,11.0,11.0,1.0
4002,30,8,5,0.09817724999447819,123844.92641211335,4.944260806065671,True,170,170,5.5,5.5,5.5,1.0
4002,30,16,5,0.2721675829961896,125298.7428440008,4.0595080022766865,True,324,324,11.0,11.0,11.0,1.0
4002,60,8,7,0.3387388330011163,248198.75756889497,1.6589155934293558,True,319,319,5.0,5.0,5.0,1.0
4002,60,16,7,0.9549607090011705,247539.0980628516,0.4175386161620054,True,643,643,11.0,11.0,11.0,1.0
4002,120,8,10,1.474893582999357,466844.8322198284,4.752535095354119,True,656,656,5.0,5.0,5.0,1.0
4002,120,16,10,3.68602275000012,468630.25453367335,0.523796246427537,True,1304,1304,11.0,11.0,11.0,1.0
4002,200,8,14,4.305890042000101,789917.6501683695,0.5079251040773443,True,1082,1082,5.0,5.0,5.0,1.0
4002,200,16,14,10.373499458000879,793230.133078221,0.17828581777519048,True,2114,2114,11.0,11.0,11.0,1.0
4003,30,8,5,0.08362041700456757,99618.88743008945,0.9646149500958643,True,159,159,5.0,5.0,5.0,1.0
4003,30,16,5,0.22242337500210851,100845.58073147073,1.437116368902906,True,309,309,10.0,10.0,10.0,1.0
4003,60,8,7,0.35097324999514967,198109.2697173798,1.0081833539326794,True,319,319,5.0,5.0,5.0,1.0
4003,60,16,7,0.8602657500014175,198268.45203764614,2.498637504582007,True,626,626,11.0,11.0,11.0,1.0
4003,120,8,10,1.3194722909975098,440996.37519255385,3.8764250675848757,True,627,627,5.0,5.0,5.0,1.0
4003,120,16,10,3.597452082991367,441104.52962350025,1.8128710013876344,True,1262,1262,10.5,10.5,10.5,1.0
4003,200,8,14,3.7213625830045203,777705.451465661,1.4241781422098256,True,1055,1055,5.0,5.0,5.0,1.0
4003,200,16,14,12.300985792011488,777618.6013361678,0.10709519563840786,True,2152,2152,11.0,11.0,11.0,1.0
