seed,n,m,gamma,runtime_seconds,objective,robust_residual,candidate_count,theta_evaluated_count,median_raw_options,median_undominated_options,median_hull_vertices,median_hull_fraction
4001,30,8,5,0.07577324999147095,134550.85424598056,1.4206263849940228,162,162,6.0,6.0,6.0,1.0
4001,30,16,5,0.20888770899910014,136346.4516720095,0.04512446468274334,327,327,11.0,11.0,11.0,1.0
4001,60,8,7,0.2845629579969682,255633.12732941756,7.386338584161194,317,317,5.0,5.0,5.0,1.0
4001,60,16,7,0.7800958750012796,256163.5408544278,0.03397717784650922,635,635,10.0,10.0,10.0,1.0
4001,120,8,10,1.125571915996261,482892.5107900001,3.7661488486319286,641,641,5.5,5.5,5.5,1.0
4001,120,16,10,3.4089148749917513,482513.58618072735,0.11487564528306393,1311,1311,11.0,11.0,11.0,1.0
4001,200,8,14,3.5694306250079535,772070.7164487193,0.6004690768205592,1105,1105,6.0,6.0,6.0,1.0
4001,200,16,14,9.444401792003191,773315.2351360557,0.108589136358205,2147,2147,11.0,11.0,11.0,1.0
4002,30,8,5,0.0866142500017304,123844.92641211335,4.944260806065813,170,170,5.5,5.5,5.5,1.0
4002,30,16,5,0.2120136250014184,125298.7428440008,4.0595080022768,324,324,11.0,11.0,11.0,1.0
4002,60,8,7,0.2912054159969557,248198.75756889497,1.6589155934294126,319,319,5.0,5.0,5.0,1.0
4002,60,16,7,0.7886468749929918,247539.0980628516,0.41753861616223276,643,643,11.0,11.0,11.0,1.0
4002,120,8,10,1.2075293330126442,466844.8322198284,4.7525350953536645,656,656,5.0,5.0,5.0,1.0
4002,120,16,10,3.298016415996244,468630.25453367335,0.5237962464277643,1304,1304,11.0,11.0,11.0,1.0
4002,200,8,14,3.802175916993292,789917.6501683695,0.5079251040779127,1082,1082,5.0,5.0,5.0,1.0
4002,200,16,14,9.227333999995608,793230.3421963908,0.24605381913249857,2114,2114,11.0,11.0,11.0,1.0
4003,30,8,5,0.07377754201297648,99618.88743008945,0.9646149500960348,159,159,5.0,5.0,5.0,1.0
4003,30,16,5,0.1960052079957677,100845.58073147073,1.4371163689028492,309,309,10.0,10.0,10.0,1.0
4003,60,8,7,0.30056841699115466,198109.2697173798,1.0081833539326226,319,319,5.0,5.0,5.0,1.0
4003,60,16,7,0.7691915830073413,198268.45203764614,2.4986375045817795,626,626,11.0,11.0,11.0,1.0
4003,120,8,10,1.1125182499963557,440996.37519255385,3.876425067585103,627,627,5.0,5.0,5.0,1.0
4003,120,16,10,3.238410790989292,441105.0414752161,0.8808334667189683,1262,1262,10.5,10.5,10.5,1.0
4003,200,8,14,3.2514744579966646,777705.451465661,1.4241781422102804,1055,1055,5.0,5.0,5.0,1.0
4003,200,16,14,10.942120833002264,777618.6013361678,0.10709519563931735,2152,2152,11.0,11.0,11.0,1.0
